"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","go_id","uniprotswissprot"
"YBL030C",8157.9824096006,-0.57142498097049,0.134648157005026,-4.24383811617384,2.19728890391635e-05,0.000168963939852878,"YBL030C",852250,"GO:0015866","P18239"
"YBL064C",1601.96939371772,0.403349064798912,0.0832479638933663,4.84515231286099,1.26514583839304e-06,1.17553134150687e-05,"YBL064C",852215,"GO:0016209","P34227"
"YBL092W",15983.6945412152,-0.30685399115586,0.108832690117534,-2.81950203403475,0.00480982261479147,0.0218896008795612,"YBL092W",852185,"GO:0005840","P38061"
"YBL099W",8091.94855003875,-0.411215990495629,0.148711064676088,-2.76520103861343,0.00568877239019182,0.0253719248602555,"YBL099W",852177,"GO:1902600","P07251"
"YBR009C",7946.90573000956,-0.577561661462186,0.225666273300605,-2.55936189761431,0.0104864511862179,0.0437098806453567,"YBR009C",852294,"GO:0000786","P02309"
"YBR035C",2548.98734275023,0.784581980859194,0.138107792606375,5.68093925804284,1.33957048778033e-08,1.61472550689196e-07,"YBR035C",852323,"GO:0048037","P38075"
"YBR106W",6847.76474796143,-0.406414371080771,0.155167378519972,-2.61919982767809,0.00881363018095393,0.0385380300069162,"YBR106W",852403,"GO:0006817","P38264"
"YBR127C",9228.09473849022,-0.357811085278671,0.114510472372793,-3.12470185358945,0.00177985358875955,0.00923040349519489,"YBR127C",852424,"GO:1902600","P16140"
"YBR160W",991.681196615516,-0.296635537882567,0.115405884071299,-2.57036753602011,0.0101590670218384,0.0431518465879993,"YBR160W",852457,"GO:0010898","P00546"
"YBR177C",3011.9747675008,-0.573872777939835,0.168140349999018,-3.41305806692556,0.000642382531811675,0.00367311037420522,"YBR177C",852476,"GO:0034319","P38295"
"YBR248C",2118.4475114082,0.778060690261152,0.285307440783453,2.72709568360572,0.00638945080699609,0.0282148025734679,"YBR248C",852550,"GO:0016833","P33734"
"YBR249C",10340.0337998491,1.06246748229592,0.253966339096516,4.18349725430405,2.87058558621362e-05,0.000216996808720555,"YBR249C",852551,"GO:0003824","P32449"
"YCL009C",6589.59291228155,0.820153259273861,0.224514764411458,3.65300367405148,0.000259190521228321,0.00169998488923281,"YCL009C",850348,"GO:0003984","P25605"
"YCL030C",9119.51709227919,1.47680237850771,0.223162146377661,6.6176204274738,3.65026824234481e-11,6.51207854434314e-10,"YCL030C",850327,"GO:0004635","P00815"
"YCR053W",7824.7283548218,0.440611288795037,0.0498109472561165,8.845671746203,9.09793351754622e-19,3.38139862402135e-17,"YCR053W",850420,"GO:0004795","P16120"
"YDL055C",21410.2518185648,-0.800300566163144,0.163985265161975,-4.8803199810218,1.05913854242074e-06,1.00505487216947e-05,"YDL055C",851504,"GO:0004475","P41940"
"YDL066W",7514.87251077071,0.841553730023319,0.276045911190791,3.04860059833189,0.00229909922112885,0.011268112666192,"YDL066W",851493,"GO:0004450","P21954"
"YDL103C",1452.79656742519,-0.414612680221782,0.185631404757624,-2.23352659946271,0.0255142382357007,0.0932733627305124,"YDL103C",851455,"GO:0070569","P43123"
"YDL131W",4155.00564136554,0.883843570786289,0.12966753672462,6.81622858821899,9.34615445146075e-12,1.8947204024325e-10,"YDL131W",851425,"GO:0019752","Q12122"
